id,document,ground_truth,polarity,intensity,lang
3316163,시즌1만 보려고했는데.. 멈출수없어 마더 ! 파더!,Positive,Positive,High,ko
9974639,잼나요 금방끝나서 섭섭하네요,Positive,Positive,Medium,ko
9907479,"ㄱ, ㅈ같ㅇ ㅍㄹㄱ 섹귀들~!!!",Positive,Unclear,High,ko
4603823,그당시 안봤으면 말을 말어. 이 영화의 모든 부분이 날 흥분시켰던 웰메이드,Positive,Positive,High,ko
6679815,타임머신 드라마.. 한편한편 볼때마다 느끼는거지만 몰입감 좋아서 시간 쭉쭉 잘감..;;,Positive,Positive,High,ko
8846509,난 프랑스 영화가 이래서 좋다..,Positive,Positive,Medium,ko
8775849,아직 전부를 잃은 건 아니다! 따뜻하고 많은 걸 되돌아 보게 하는 영화였어요,Positive,Positive,Medium,ko
9914983,아담샌들러 최고의 영화.,Positive,Positive,High,ko
2964525,"잔잔하니 여운 남네요. 10,20년 후의 두 소리꾼을 기대합니다. 멋지게 성장하길.",Positive,Positive,Medium,ko
9395300,어릴 때 보았던 메리포핀스를 작가의 관점에서 새롭게 보게 된 영화,Positive,Positive,Medium,ko
5850419,잘 만들었네요,Positive,Positive,Medium,ko
7224635,뭔가 재밋다..ㅇㅅㅇ,Positive,Positive,Medium,ko
6982798,ㅋㅋㅋㅋㅋ아는사람만 아는영화 오멘이나 데드쉽이나 진짜 무섭게본듯,Positive,Positive,Medium,ko
8363132,진짜 괜찮은데.. 휴 가슴이 답답해질정도로 많은 생각하게 되네요,Positive,Positive,Medium,ko
10122209,미국이 진짜 선진국인 이유가 있구나 진짜 멋지드라...최고다,Positive,Positive,High,ko
6594350,볼만했다 배우들도 너무 좋고 재미없는영화가 아니라서다행이다 ㅎㅎ,Positive,Positive,Medium,ko
7461270,"지금와서 돌이켜보면 김씨일가는 돼지로 표현, 북한군이나 간첩은 늑대,여우로 표현돼있는데, 나이먹고 그런 묘사들이 왜이리 공감이 가는지... 온고지신이란 사자성어가 떠오른다.",Positive,Positive,Medium,ko
5457620,미국 50년대 모르는 사람이 보면 재미 없을 거 같네요 그래서 -1점. 그것 빼곤 쵝오,Positive,Positive,High,ko
9969751,이야기 자체가 탄탄한데다가 연출과 연기가 조화를 이루는군,Positive,Positive,Medium,ko
6778313,감동 맞지만 영화로썬 꽝!!!,Positive,Negative,Medium,ko
5330466,굿,Positive,Positive,Low,ko
2126150,연기란게 바로 이런 것! 노튼의 연기 물올랐다~,Positive,Positive,Medium,ko
10099824,누군가를 이렇게 오랫동안 사랑할 수 있을까,Positive,Unclear,Low,ko
4366141,진짜 보는 내내 웃겨 죽을뻔함 ㅋㅋ,Positive,Positive,High,ko
9222030,새벽시간에 심야영화상영으로 숨죽이며 보던중에 필음 과열로 화면이 녹아내리는듯 하더니 갑자기 필름이 탁 끊기면서 빛도 소리도 사라져 그야말로 공포영화보다가 너무너무 무서웠었던 기억이... 특유의 음산함이 정말 무서웠던 코미디영화.,Positive,Positive,High,ko
10136785,아라 진짜 아라같다. 연기를매력있게하네~ 영화가 음.... 재밌는데 리얼함,Positive,Positive,Medium,ko
7553612,디카프리오자폐연기쩐다...어린나이인데,Positive,Positive,High,ko
1389330,이거 괜히 영화때문에 알지도 못하는 사람들이 평점 낮게 주네,Positive,Positive,Low,ko
2333880,애절하고 색깔있는 고등학교 시절을 못보낸것이 아쉽다.,Positive,Unclear,Low,ko
9630089,역시 연기력 좋고 담담하면서 심금을 자극하는 시나리오 흑,Positive,Positive,Medium,ko
