review_id,review_title,review_body,language,product_category,sentiment_label,confidence,notes
zh_0842626,质量实在一般,拿到手非常喜欢，轻便，简单，耐看。但是质量很p，五一假期穿着跟朋友玩了会儿篮球斗牛，结果左脚小白鞋直接坏掉：后跟脱胶，前面鞋面蹭破。此外，感觉时间一长大拇指会把鞋面顶破，质量实在不敢恭维。我穿三叶草打篮球搞运动什么的，完全不会出现一丢丢问题。,zh,shoes,Negative,High,"Positive comments on appearance and comfort, but serious quality problems dominate"
zh_0531516,服务态度超好！,服务态度超好，衣服质量也是杠杠的，谢谢，祝生意越做越好！,zh,apparel,Positive,High,
zh_0474460,刑法学,书还不错 纸张也还好 发货到货都快。,zh,book,Positive,High,"Mild positive wording, but the overall positive sentiment is unambiguous"
zh_0915261,书可以，快递太差,周四下单时显示有货，周六送到，还特地请了假等书，结果周六凌晨发邮件给我说没货，下周一送到，然后没通知的情况下快递又周日送到，我不在，还被快递大骂一顿，说不在怎么不选工作日送货,zh,book,Negative,High,"Product itself is acceptable, but negative delivery and service experience dominates"
zh_0581507,好书，值得推荐！,昨天买的，今天就送到了，大致流浪了一下，里面的问题都是在教育孩子的过程中遇到的典型问题，好书，值得推荐！,zh,book,Positive,High,
zh_0216968,质量差,矬是弯的，每次打开合上都会磨主刀。镊子两头不一样长，夹个小东西那个费劲啊。,zh,sports,Negative,High,
zh_0490041,价格很合理,洗的時候会褪色，但过了几遍水就不会了，布料很好，不会厚，是我想要的,zh,apparel,Positive,High,"Minor color-fading issue, but positive fabric evaluation and overall satisfaction dominate"
zh_0132656,书质量差,数的质量好差，直接开裂了，内容还没有看。,zh,book,Negative,High,
zh_0215064,还不错,故事还不错吧，但是标题洗澡和简介，真是感觉没有什么关系。,zh,book,Positive,Medium,"Positive evaluation of the story, with a secondary criticism of the title and description"
zh_0061827,超值，喜欢,一直都使用这两个牌子，赶上双十一优惠，超值。,zh,beauty,Positive,High,
zh_0219463,书皮破,一打开包装就看见了破烂的包装书皮，给人一种二手货的感觉。不开心。,zh,book,Negative,High,
zh_0372680,怪癖心理学,内容写得通俗易懂还有小案例，但是觉得有点笼统，没有达到自己期望,zh,book,Negative,Medium,"Positive comments on readability, but failure to meet expectations dominates"
zh_0484095,发过来的新鞋子有磨损，无法接受,鞋是好鞋，请问亚马逊海外直邮是怎么包装的，直接裸盒套个塑料袋就发给我了？鞋盒都破了，鞋子也刮花了，你们就这么服务客户？,zh,shoes,Negative,High,"Product itself is positively evaluated, but packaging damage and service complaints dominate"
zh_0885819,kindle版排版错误太多了。,书是很棒了，毕竟等了那么久的电子版。 但是中间的低级错误太多了。错别字和本编排错误。 那些文学大家的名字错误的最多。 希望可以改善,zh,digital_ebook_purchase,Negative,Medium,"Book content is positively evaluated, but numerous Kindle formatting and text errors dominate"
