review_id,review_title,review_body,language,product_category,sentiment_label,confidence,notes
zh_0958913,感觉还行,某些细节处有线头，布的材质较软，不是想象中那种较硬的帆布，所以实物没有图片看起来那么板正，另外没有味道是真的。背部的拉链和内部是连通的，不像某些仿品还有夹层的，这点感觉仿品做的更实用些，直接连通的话，感觉如果这个拉链坏了，这个包就没法用了，略不爽，还有内部的内袋太小，这点也不如某些仿品的大内袋实用，两侧的侧袋深度也没有预想的深。,zh,shoes,Negative,High,
zh_0133459,还不错,平时穿运动鞋42的，皮鞋41的，clarks鞋子一直穿8.5，这双选了8.5刚好。不像评论里过大或者过小。新鞋子，有点硬，穿一穿应该就好了。,zh,shoes,Positive,High,
zh_0971712,学mongodb不建议买,书质量很好，但是内容小错不断，有时候容易迷惑，如果是初学者会很费劲,zh,book,Positive,High,
zh_0135694,好小,没注意量，以为和超市卖的茄汁罐头一样大，结果好小，太迷你了，虽然挂着进口2字，但比超市大分量的还贵一倍。,zh,grocery,Negative,High,
zh_0884672,设计美观、简洁，内容完整无删节,好好的书，送到手时书皮都折了，书角还开裂了！好心疼呜呜呜，只能赶紧用透明胶封一下。除此之外一切都很好，书的大小、字体大小和纸张手感都比较满意，封面也好看。书的内容是未经删改、完整的原版，唯一不足是前言里没什么有价值的内容，跟十几年前Penguin Classics版本的前言相比差远了。,zh,book,Positive,High,
zh_0215064,还不错,故事还不错吧，但是标题洗澡和简介，真是感觉没有什么关系。,zh,book,Negative,High,
zh_0662801,看起来还不错,按时送达，货物不错，已经用上了！至于质量有待时间考验！,zh,luggage,Positive,High,
zh_0041008,没有素材啊,收到书之后按照步骤去学，发现没有配套的素材😂,zh,book,Negative,High,
zh_0789426,买的寄过来时候有凹痕,想换货，找不到联系方式，商家留了一个电话竟然是错误的，我怎么联系到,zh,luggage,Positive,Medium,
zh_0915261,书可以，快递太差,周四下单时显示有货，周六送到，还特地请了假等书，结果周六凌晨发邮件给我说没货，下周一送到，然后没通知的情况下快递又周日送到，我不在，还被快递大骂一顿，说不在怎么不选工作日送货,zh,book,Positive,High,
zh_0806066,八十分,鞋子还可以，但是我不晓得真假，穿着蛮舒服就好了，看起来小，穿进去其实不小，颜色也不错，还是挺满意的。,zh,shoes,Negative,High,
zh_0885054,刷的牙齿疼,希望写真实的评论，不要毒害后来的人，谢谢,zh,beauty,Negative,Medium,
zh_0134519,孩子喜欢,孩子很喜欢，有些地方是大人帮忙弄的。焊接的地方比较细，一不小心就断了，只好拿到单位请工程师帮忙又焊了回去。总体还行。,zh,toy,Negative,High,
zh_0441325,没什么用处,这个就是无用的东西！毫无意义对蚊子没有作用,zh,drugstore,Negative,Medium,
zh_0718153,可以花几天的时间看看,讲了很多案例来证明混乱是创新的源泉，不用刻意追求整洁，看一遍就可以了,zh,digital_ebook_purchase,Positive,High,
zh_0995315,还行,价格合理 款式简单 舒适度要穿一段时间才能知道,zh,shoes,Positive,High,
zh_0383254,很好,单独包装，尤其是快递给力啊，第二天就到了，亚马逊换物流了？不管如何，赞。书拿到看了下，内容丰富详细，难得的好辅导书,zh,book,Negative,High,
zh_0931854,很好,颜色还是很好看的，但是就是戴久了耳朵被压得不舒服。建议不要久戴。,zh,other,Positive,High,
zh_0821808,一般吧，戴不了时间长,戴一会都会耳朵疼，很疼，有时还有杂音，电流声,zh,wireless,Negative,High,
zh_0678191,冠军,第一次在亚马逊买冠军，期盼已久，但收货之后却没有这么大的惊喜，衣服款式不错，但材料真的很一般，真的很一般，可能是夏装的材料都这样吧，但冠军没有让我有礼物买下去的欲望了。,zh,apparel,Negative,High,
